id,text,category,sentiment
1,Заказ приехал на два дня раньше срока,доставка,положительный
2,Курьер опоздал на четыре часа и не позвонил,доставка,отрицательный
3,Посылка пришла вовремя,доставка,нейтральный
4,Коробка была помята но товар целый,доставка,нейтральный
5,Ждал две недели вместо обещанных трёх дней,доставка,отрицательный
6,Отличная упаковка ничего не повредилось,доставка,положительный
7,Доставили ровно в назначенный интервал,доставка,положительный
8,Трек-номер не отслеживался всю неделю,доставка,отрицательный
9,Пункт выдачи оказался закрыт в рабочее время,доставка,отрицательный
10,Забрал заказ в пункте выдачи без очереди,доставка,положительный
11,Курьер вежливый всё объяснил,доставка,положительный
12,Заказ потеряли и нашли только через месяц,доставка,отрицательный
13,Доставка стандартная ничего особенного,доставка,нейтральный
14,Привезли не по тому адресу пришлось ехать самому,доставка,отрицательный
15,Наушники звучат чисто бас глубокий,качество,положительный
16,Клавиатура сломалась через неделю использования,качество,отрицательный
17,Материал приятный на ощупь швы ровные,качество,положительный
18,Экран монитора с битым пикселем прямо по центру,качество,отрицательный
19,Товар соответствует описанию,качество,нейтральный
20,Пластик дешёвый скрипит при нажатии,качество,отрицательный
21,Сборка добротная люфтов нет,качество,положительный
22,Ткань после первой стирки полезла,качество,отрицательный
23,Работает как заявлено претензий нет,качество,нейтральный
24,Мышь идеально лежит в руке кнопки чёткие,качество,положительный
25,Пришла подделка вместо оригинала,качество,отрицательный
26,Книга напечатана на хорошей бумаге,качество,положительный
27,Провод переломился у основания через месяц,качество,отрицательный
28,Качество среднее для такой суммы нормально,качество,нейтральный
29,Плед мягкий и тёплый именно то что нужно,качество,положительный
30,Лампа мигает на минимальной яркости,качество,отрицательный
31,Цена ниже чем у конкурентов за то же самое,цена,положительный
32,Дорого за такой набор функций,цена,отрицательный
33,Стоимость средняя по рынку,цена,нейтральный
34,Взял по скидке очень выгодно получилось,цена,положительный
35,Цену подняли на следующий день после заказа,цена,отрицательный
36,За эти деньги ожидал большего,цена,отрицательный
37,Соотношение цены и качества отличное,цена,положительный
38,Промокод не сработал при оформлении,цена,отрицательный
39,Цена как везде,цена,нейтральный
40,Дешевле только на распродаже,цена,нейтральный
41,Скрытая комиссия при оплате картой,цена,отрицательный
42,Купил дешевле чем в офлайне на треть,цена,положительный
43,Поддержка ответила за пять минут и решила вопрос,поддержка,положительный
44,Написал в чат жду ответа третий день,поддержка,отрицательный
45,Оператор общался вежливо но помочь не смог,поддержка,нейтральный
46,Возврат оформили без лишних вопросов,поддержка,положительный
47,Переключали между отделами четыре раза,поддержка,отрицательный
48,Ответили шаблоном не по теме вопроса,поддержка,отрицательный
49,Менеджер сам перезвонил и уточнил детали,поддержка,положительный
50,Обратился в поддержку заявку приняли,поддержка,нейтральный
51,Деньги за возврат вернули через два месяца,поддержка,отрицательный
52,Помогли настроить устройство по телефону,поддержка,положительный
53,Горячая линия недоступна круглые сутки,поддержка,отрицательный
54,Заявку зарегистрировали номер прислали,поддержка,нейтральный
55,Гарантийный случай отказались признавать,поддержка,отрицательный
56,Быстро заменили бракованный товар,поддержка,положительный
57,Курьер привёз вовремя но товар с царапиной,доставка,нейтральный
58,Свет от лампы тёплый глаза не устают,качество,положительный
59,За доставку взяли больше чем обещали на сайте,цена,отрицательный
60,Чат-бот не понимает вопрос а живого оператора нет,поддержка,отрицательный
61,Привезли за один день сам не ожидал,доставка,положительный
62,Курьер бросил коробку у двери и ушёл,доставка,отрицательный
63,Срок доставки сдвинули трижды,доставка,отрицательный
64,Всё пришло в срок замечаний нет,доставка,нейтральный
65,Упаковка порвана но содержимое в порядке,доставка,нейтральный
66,Заказ собрали и отправили в тот же час,доставка,положительный
67,Пришлось идти в другой пункт выдачи,доставка,отрицательный
